N;wordnetid;name;description
547;n02666196;abacus;a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
853;n02667093;abaya;"(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women"
896;n02669723;academic gown, academic robe, judges robe;a gown worn by academics or judges
223;n02672831;accordion, piano accordion, squeeze box;"a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player"
327;n12267677;acorn;fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
741;n07717410;acorn squash;small dark green or yellow ribbed squash with yellow to orange flesh
345;n02676566;acoustic guitar;sound is not amplified by electrical means
641;n02276258;admiral;any of several brightly colored butterflies
127;n02110627;affenpinscher, monkey pinscher, monkey dog;European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle
98;n02088094;Afghan hound, Afghan;"tall graceful breed of hound with a long silky coat; native to the Near East"
472;n01694178;African chameleon, Chamaeleo chamaeleon;a chameleon found in Africa
475;n01697457;African crocodile, Nile crocodile, Crocodylus niloticus;a dangerous crocodile widely distributed in Africa
24;n02504458;African elephant, Loxodonta africana;an elephant native to Africa having enormous flapping ears and ivory tusks
408;n01817953;African grey, African gray, Psittacus erithacus;"commonly domesticated grey parrot with red-and-black tail and white face; native to equatorial Africa"
202;n02116738;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus;"a powerful doglike mammal of southern and eastern Africa that hunts in large packs; now rare in settled area"
467;n01687978;agama;small terrestrial lizard of warm regions of the Old World
913;n12998815;agaric;a saprophytic fungus of the order Agaricales having an umbrellalike cap with gills on the underside
246;n02687172;aircraft carrier, carrier, flattop, attack aircraft carrier;a large warship that carries planes and has a long flat deck for takeoffs and landings
33;n02096051;Airedale, Airedale terrier;breed of large wiry-coated terrier bred in Yorkshire
230;n02690373;airliner;a commercial airplane that carries passengers
232;n02692877;airship, dirigible;a steerable self-propelled aircraft
441;n02058221;albatross, mollymawk;"large web-footed birds of the southern hemisphere having long narrow wings; noted for powerful gliding flight"
469;n01689811;alligator lizard;"slim short-limbed lizard having a distinctive fold on each side that permits expansion; of western North America"
361;n09193705;alp;any high mountain
677;n02699494;altar;a raised structure on which gifts or sacrifices to a god are made
265;n02701002;ambulance;a vehicle that takes people to and from hospitals
476;n01698640;American alligator, Alligator mississipiensis;large alligator of the southeastern United States
163;n02133161;American black bear, black bear, Ursus americanus, Euarctos americanus;"brown to black North American bear; smaller and less ferocious than the brown bear"
465;n01682714;American chameleon, anole, Anolis carolinensis;small arboreal tropical American insectivorous lizards with the ability to change skin color
431;n02018207;American coot, marsh hen, mud hen, water hen, Fulica americana;a coot found in North America
426;n02009912;American egret, great white heron, Egretta albus;"a common egret of the genus Egretta found in America; it is a variety of the Old World white egret Casmerodius albus"
617;n01983481;American lobster, Northern lobster, Maine lobster, Homarus americanus;lobster of Atlantic coast of America
170;n02093428;American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier;American breed of muscular terriers with a short close-lying stiff coat
264;n02704792;amphibian, amphibious vehicle;a flat-bottomed motor vehicle that can travel on land or water
522;n02708093;analog clock;a clock that displays the time of day by the position of hands on a dial
453;n02607072;anemone fish;live associated with sea anemones
164;n02328150;Angora, Angora rabbit;domestic breed of rabbit with long white silky hair
224;n02219486;ant, emmet, pismire;"social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wi... <Preview truncated at 128 characters>"
688;n02727426;apiary, bee house;a shed containing a number of beehives
115;n02107908;Appenzeller;a smaller of the four Swiss breeds
845;n02730930;apron;a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
121;n02437312;Arabian camel, dromedary, Camelus dromedarius;one-humped camel of the hot deserts of northern Africa and southwestern Asia
159;n02120079;Arctic fox, white fox, Alopex lagopus;"thickly-furred fox of Arctic regions; brownish in summer and white in winter"
178;n02454379;armadillo;burrowing chiefly nocturnal mammal with body covered with strong horny plates
744;n07718747;artichoke, globe artichoke;a thistlelike flower head with edible fleshy leaves and heart
752;n02747177;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;a bin that holds rubbish until it is collected
540;n02749479;assault rifle, assault gun;any of the automatic rifles or semiautomatic rifles with large magazines designed for military use
4;n02096294;Australian terrier;small greyish wire-haired breed of terrier from Australia similar to the cairn
498;n01632777;axolotl, mud puppy, Ambystoma mexicanum;larval salamander of mountain lakes of Mexico that usually lives without metamorphosing
137;n02486410;baboon;large terrestrial monkeys having doglike muzzles
847;n02769748;backpack, back pack, knapsack, packsack, rucksack, haversack;a bag carried by a strap on your back or shoulder
16;n02447366;badger;"sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere"
768;n07693725;bagel, beigel;(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust
704;n02776631;bakery, bakeshop, bakehouse;a workplace where baked goods (breads and cakes and pastries) are produced or sold
767;n02777292;balance beam, beam;a gymnastic apparatus used by women gymnasts
398;n01614925;bald eagle, American eagle, Haliaeetus leucocephalus;a large eagle of North America that has a white head and dark wings and body
233;n02782093;balloon;large tough nonrigid bag filled with gas or heated air
954;n09835506;ballplayer, baseball player;an athlete who plays baseball
907;n02783161;ballpoint, ballpoint pen, ballpen, Biro;a pen that has a small metal ball as the point of transfer of ink to paper
323;n07753592;banana;elongated crescent-shaped yellow fruit with soft sweet flesh
967;n02786058;Band Aid;trade name for an adhesive bandage to cover small cuts or blisters
463;n01675722;banded gecko;"any of several geckos with dark bands across the body and differing from typical geckos in having movable eyelids; of United Sta... <Preview truncated at 128 characters>"
341;n02787622;banjo;a stringed instrument of the guitar family that has long neck and circular body
718;n02788148;bannister, banister, balustrade, balusters, handrail;a railing at the side of a staircase or balcony to prevent people from falling
916;n02790996;barbell;"a bar to which heavy discs are attached at each end; used in weightlifting"
307;n02791124;barber chair;a large fixed adjustable chair in which barbers seat their customers
705;n02791270;barbershop;a shop where men can get their hair cut
683;n02793495;barn;an outlying farm building for storing grain or animal feed and housing farm animals
